id,doid,source,xref
565297,DOID:9266,SNOMEDCT_US_2019_09_01,85020001
567046,DOID:0111258,ICD10CM,E74.8
574611,DOID:14004,NCI,C27001
557217,DOID:0070145,NCI,C156360
544826,DOID:210,MESH,D036982
544571,DOID:6102,UMLS_CUI,C1333996
564998,DOID:0050951,GARD,6614
566956,DOID:9267,ICD9CM,270.6
550514,DOID:3523,SNOMEDCT_US_2019_09_01,95457000
564710,DOID:0060327,UMLS_CUI,C0795690
547901,DOID:0060797,OMIM,614381
573734,DOID:0110766,ORDO,100994
551628,DOID:0111647,UMLS_CUI,C1857069
561839,DOID:0110031,OMIM,613978
569406,DOID:987,MESH,D000505
544159,DOID:13533,NCI,C26840
544011,DOID:2120,GARD,6457
552527,DOID:11557,ICD10CM,H65.0
550051,DOID:0070070,OMIM,616579
551237,DOID:0060308,OMIM,611092
554168,DOID:11558,UMLS_CUI,C0155418
568742,DOID:0060488,UMLS_CUI,C1970431
566711,DOID:5547,UMLS_CUI,C1335571
560714,DOID:0050747,MESH,D008258
572424,DOID:0090102,ICD10CM,D69.4
575016,DOID:12558,OMIM,PS157640
551357,DOID:11148,UMLS_CUI,C0154968
572819,DOID:2058,OMIM,614162
573763,DOID:12714,OMIM,225500
575282,DOID:6344,NCI,C6910
545082,DOID:10955,SNOMEDCT_US_2019_09_01,1214006
550916,DOID:0110044,OMIM,609790
