id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
2760,7,MRTD,1486,26.33379936,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
7820,6,t_half,4361,1.42,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1261,9,S,1748,100.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8061,6,t_half,5027,148.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1916,9,S,2621,0.05,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5384,6,t_half,835,2.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5863,3,CL,1291,0.8,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7263,5,fu,2705,0.037,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3766,1,BA,865,54.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
5828,8,Vd,1268,0.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3237,7,MRTD,2861,37.41867828,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2005,9,S,2728,0.029,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
3336,2,BDDCS,698,2.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
586,9,S,783,1000.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8181,9,S,409,0.01,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
3323,2,BDDCS,401,2.0,2899,JOURNAL ARTICLE,hosey2016_mapping.tsv
1171,9,S,1594,1.64,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4903,5,fu,391,0.17,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1542,2,BDDCS,2090,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6426,8,Vd,1860,0.77,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2260,4,EoM,4616,52.75,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4619,8,Vd,48,0.24,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4255,1,BA,2448,87.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
6691,6,t_half,2098,5.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5519,6,t_half,947,0.42,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
983,9,S,1369,640.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8100,5,fu,5238,0.16,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7165,3,CL,2616,3.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
